invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5pct,total,date,time,payment,cogs,gross_margin_percentage,gross_income,rating,year,month,day,weekday,hour,timeOfDay,revenueRange
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.1415,548.97,2019-01-05,13:08:00,Ewallet,522.83,4.76,26.1415,9.1,2019,January,5,Saturday,13,Afternoon,High
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29:00,Cash,76.4,4.76,3.82,9.6,2019,March,8,Friday,10,Morning,Low
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.2155,340.53,2019-03-03,13:23:00,Credit card,324.31,4.76,16.2155,7.4,2019,March,3,Sunday,13,Afternoon,Medium
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.288,489.05,2019-01-27,20:33:00,Ewallet,465.76,4.76,23.288,8.4,2019,January,27,Sunday,20,Evening,Medium
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.2085,634.38,2019-02-08,10:37:00,Ewallet,604.17,4.76,30.2085,5.3,2019,February,8,Friday,10,Morning,High
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.8865,627.62,2019-03-25,18:30:00,Ewallet,597.73,4.76,29.8865,4.1,2019,March,25,Monday,18,Evening,High
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.652,433.69,2019-02-25,14:36:00,Ewallet,413.04,4.76,20.652,5.8,2019,February,25,Monday,14,Afternoon,Medium
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38:00,Ewallet,735.6,4.76,36.78,8.0,2019,February,24,Sunday,11,Morning,High
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.626,76.15,2019-01-10,17:15:00,Credit card,72.52,4.76,3.626,7.2,2019,January,10,Thursday,17,Afternoon,Low
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.226,172.75,2019-02-20,13:27:00,Credit card,164.52,4.76,8.226,5.9,2019,February,20,Wednesday,13,Afternoon,Low
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.896,60.82,2019-02-06,18:07:00,Ewallet,57.92,4.76,2.896,4.5,2019,February,6,Wednesday,18,Evening,Low
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.102,107.14,2019-03-09,17:03:00,Cash,102.04,4.76,5.102,6.8,2019,March,9,Saturday,17,Afternoon,Low
