invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,tax_5pct,total,date,time,payment,cogs,gross_margin_percentage,gross_income,rating,year,month,day,weekday,hour,timeOfDay,revenueRange
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.14,548.97,2019-01-05,13:08:00,Ewallet,522.83,4.761904762,26.14,9.1,2019,January,5,Saturday,13,Afternoon,High
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,2019-03-08,10:29:00,Cash,76.4,4.761904762,3.82,9.6,2019,March,8,Friday,10,Morning,Low
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.22,340.53,2019-03-03,13:23:00,Credit card,324.31,4.761904762,16.22,7.4,2019,March,3,Sunday,13,Afternoon,Medium
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.29,489.05,2019-01-27,20:33:00,Ewallet,465.76,4.761904762,23.29,8.4,2019,January,27,Sunday,20,Evening,Medium
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.21,634.38,2019-02-08,10:37:00,Ewallet,604.17,4.761904762,30.21,5.3,2019,February,8,Friday,10,Morning,High
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.89,627.62,2019-03-25,18:30:00,Ewallet,597.73,4.761904762,29.89,4.1,2019,March,25,Monday,18,Evening,High
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.65,433.69,2019-02-25,14:36:00,Ewallet,413.04,4.761904762,20.65,5.8,2019,February,25,Monday,14,Afternoon,Medium
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,2019-02-24,11:38:00,Ewallet,735.6,4.761904762,36.78,8.0,2019,February,24,Sunday,11,Morning,High
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.63,76.15,2019-01-10,17:15:00,Credit card,72.52,4.761904762,3.63,7.2,2019,January,10,Thursday,17,Afternoon,Low
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.23,172.75,2019-02-20,13:27:00,Credit card,164.52,4.761904762,8.23,5.9,2019,February,20,Wednesday,13,Afternoon,Low
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.9,60.82,2019-02-06,18:07:00,Ewallet,57.92,4.761904762,2.9,4.5,2019,February,6,Wednesday,18,Evening,Low
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.1,107.14,2019-03-09,17:03:00,Cash,102.04,4.761904762,5.1,6.8,2019,March,9,Saturday,17,Afternoon,Low
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.74,246.49,2019-02-12,10:25:00,Ewallet,234.75,4.761904762,11.74,7.1,2019,February,12,Tuesday,10,Morning,Medium
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.6,453.5,2019-02-07,16:48:00,Ewallet,431.9,4.761904762,21.6,8.2,2019,February,7,Thursday,16,Afternoon,Medium
